[2026-05-29 22:29:05] ============================================================
[2026-05-29 22:29:05] Phase 2: 차트 생성 시작 (배치 9999개/회)
[2026-05-29 22:29:05] 차트 미생성 3,972개 | 오늘 처리 3972개
[2026-05-29 22:36:19]   [189/3972] ✅ 037020
[2026-05-29 22:36:20]   [190/3972] ✅ 049690
[2026-05-29 22:36:21]   [191/3972] ✅ 023670
[2026-05-29 22:36:24]   [192/3972] ✅ 101790
[2026-05-29 22:36:27]   [193/3972] ✅ 094520
[2026-05-29 22:36:30]   [194/3972] ✅ 088960
[2026-05-29 22:36:31]   [195/3972] ✅ 052650
[2026-05-29 22:36:33]   [196/3972] ✅ 032390
[2026-05-29 22:36:34]   [197/3972] ✅ 035830
[2026-05-29 22:36:35]   [198/3972] ✅ 048130
[2026-05-29 22:36:37]   [199/3972] ✅ 045400
[2026-05-29 22:36:38]   [200/3972] ✅ 047450
[2026-05-29 22:36:42]   ✅ push 완료
[2026-05-29 22:36:44]   [201/3972] ✅ 088810
[2026-05-29 22:36:46]   [202/3972] ✅ 037700
[2026-05-29 22:36:49]   [203/3972] ✅ 013200
[2026-05-29 22:36:51]   [204/3972] ✅ 023020
[2026-05-29 22:36:53]   [205/3972] ✅ 900020
[2026-05-29 22:36:57]   [206/3972] ✅ 078670
[2026-05-29 22:36:59] Phase 3 자동 시작 대기 중... (Phase 2 완료 감시)
[2026-05-29 22:37:00]   [207/3972] ✅ 007480
[2026-05-29 22:37:02]   [208/3972] ✅ 073130
[2026-05-29 22:37:05]   [209/3972] ✅ 079340
[2026-05-29 22:37:07]   [210/3972] ✅ 053070
[2026-05-29 22:37:08]   [211/3972] ✅ 032570
[2026-05-29 22:37:09]   [212/3972] ✅ 045380
[2026-05-29 22:37:12]   [213/3972] ✅ 080140
[2026-05-29 22:37:14]   [214/3972] ✅ 045290
[2026-05-29 22:37:17]   [215/3972] ✅ 076090
[2026-05-29 22:37:18]   [216/3972] ✅ 033190
[2026-05-29 22:37:21]   [217/3972] ✅ 007050
[2026-05-29 22:37:22]   [218/3972] ✅ 047370
[2026-05-29 22:37:26]   [219/3972] ✅ 085680
[2026-05-29 22:37:27]   [220/3972] ✅ 052970
[2026-05-29 22:37:29]   [221/3972] ✅ 030420
[2026-05-29 22:37:30]   [222/3972] ✅ 025970
[2026-05-29 22:37:33]   [223/3972] ✅ 016160
[2026-05-29 22:37:34]   [224/3972] ✅ 037320
[2026-05-29 22:37:36]   [225/3972] ✅ 059720
[2026-05-29 22:37:37]   [226/3972] ✅ 048760
[2026-05-29 22:37:40]   [227/3972] ✅ 063350
[2026-05-29 22:37:43]   [228/3972] ✅ 025460
[2026-05-29 22:37:44]   [229/3972] ✅ 052560
[2026-05-29 22:37:47]   [230/3972] ✅ 084240
